frame,person_id,keypoint_id,x,y,confidence
0,0,0,1469.402,200.36339,0.91495013
0,0,1,0.0,0.0,0.3218617
0,0,2,1449.8962,185.09088,0.9340126
0,0,3,0.0,0.0,0.08248948
0,0,4,1401.5702,206.76134,0.95894355
0,0,5,1365.8876,278.765,0.9354842
0,0,6,1423.6758,307.6037,0.9974789
0,0,7,1490.4249,301.03143,0.7360586
0,0,8,1616.2592,338.29663,0.99735177
0,0,9,1627.1493,292.08994,0.7936361
0,0,10,1756.585,315.09586,0.99404365
0,0,11,1387.4062,559.2739,0.9914125
0,0,12,1422.1542,590.93005,0.998212
0,0,13,1524.0015,748.16754,0.9489166
0,0,14,1562.6393,818.4478,0.99039817
0,0,15,1590.8622,933.6229,0.6974536
0,0,16,1607.127,1032.8577,0.87020534
10,0,0,1470.9188,192.86473,0.8797647
10,0,1,0.0,0.0,0.25760263
10,0,2,1453.581,178.36267,0.8997175
10,0,3,0.0,0.0,0.08485356
10,0,4,1409.6837,204.09358,0.95351225
10,0,5,1368.95,282.0161,0.9421845
10,0,6,1429.7118,310.9726,0.9971878
10,0,7,1509.6898,301.3975,0.7574634
10,0,8,1620.2638,343.28864,0.99682546
10,0,9,1648.2374,286.3651,0.795175
10,0,10,1757.4119,318.9375,0.9926676
10,0,11,1389.3298,560.7266,0.99182254
10,0,12,1428.8218,593.88837,0.99811673
10,0,13,1522.511,735.39465,0.94881743
10,0,14,1568.7733,818.45654,0.9895864
10,0,15,1580.2051,910.2585,0.6917721
10,0,16,1607.3987,1037.2584,0.85683805
20,0,0,1496.4153,176.8585,0.8372148
20,0,1,0.0,0.0,0.15473403
20,0,2,1474.3383,159.59148,0.8707852
20,0,3,0.0,0.0,0.08058014
20,0,4,1431.6244,192.43533,0.9641532
20,0,5,1403.9221,282.41153,0.96612185
20,0,6,1461.7706,308.7072,0.9990429
20,0,7,1475.1416,349.07098,0.7749763
20,0,8,1627.64,357.12442,0.9989214
20,0,9,1608.5607,342.37152,0.7884498
20,0,10,1763.2921,319.4611,0.99666625
20,0,11,1394.0594,535.8774,0.99589145
20,0,12,1442.3003,578.26,0.99939334
20,0,13,1465.8796,632.7142,0.9847185
20,0,14,1587.4519,803.2801,0.99824166
20,0,15,1437.9056,707.6578,0.92733526
20,0,16,1616.5825,1034.198,0.97537464
30,0,0,1575.6055,150.58621,0.8910399
30,0,1,0.0,0.0,0.27180666
30,0,2,1560.1315,138.47145,0.8588544
30,0,3,0.0,0.0,0.16367432
30,0,4,1525.5868,171.12685,0.9370229
30,0,5,1473.151,249.9489,0.98578334
30,0,6,1542.8467,281.97305,0.998013
30,0,7,1541.3735,348.78333,0.9237496
30,0,8,1650.2239,379.37036,0.99673957
30,0,9,1651.4429,302.68387,0.915025
30,0,10,1771.0067,325.5167,0.9935138
30,0,11,1450.8389,532.3037,0.9964109
30,0,12,1494.3466,557.52026,0.99865097
30,0,13,1517.3845,715.7777,0.98244435
30,0,14,1602.741,786.5874,0.99404716
30,0,15,1563.8254,907.4954,0.81898093
30,0,16,1613.1947,1015.7913,0.8910735
40,0,0,1668.2197,125.83031,0.65259135
40,0,1,0.0,0.0,0.08941107
40,0,2,1653.2944,111.45795,0.7972745
40,0,3,0.0,0.0,0.103877105
40,0,4,1616.2357,143.39621,0.9684921
40,0,5,1545.203,216.8835,0.8859514
40,0,6,1604.3958,256.73917,0.99883527
40,0,7,0.0,0.0,0.292918
40,0,8,1646.9434,384.801,0.9970413
40,0,9,0.0,0.0,0.21655013
40,0,10,1776.7545,327.81213,0.9802619
40,0,11,1517.1532,512.39746,0.9911329
40,0,12,1556.1443,533.601,0.99916315
40,0,13,1556.465,744.1873,0.9817742
40,0,14,1623.1052,773.6098,0.9983292
40,0,15,1584.052,965.49243,0.9313923
40,0,16,1609.3284,1032.2249,0.98463595
50,0,0,1725.3568,115.27492,0.69599855
50,0,1,0.0,0.0,0.13763386
50,0,2,1709.2207,103.77869,0.75702107
50,0,3,0.0,0.0,0.1687586
50,0,4,1671.4967,139.77942,0.9571334
50,0,5,1602.5497,217.27603,0.95118695
50,0,6,1659.6538,244.24608,0.99868315
50,0,7,1525.573,363.07672,0.6187962
50,0,8,1650.6146,361.95593,0.99634784
50,0,9,0.0,0.0,0.49311674
50,0,10,1776.0656,318.11334,0.980648
50,0,11,1578.5132,506.46716,0.9950222
50,0,12,1614.5991,523.179,0.9991648
50,0,13,1566.8333,735.8875,0.98747444
50,0,14,1646.6229,769.97424,0.9977773
50,0,15,1570.6091,955.67706,0.93442595
50,0,16,1606.1375,1027.2758,0.9764696
60,0,0,1740.0656,104.69023,0.6804654
60,0,1,0.0,0.0,0.13056625
60,0,2,1724.5936,93.57971,0.7205156
60,0,3,0.0,0.0,0.17449152
60,0,4,1684.8019,131.7062,0.9549389
60,0,5,1615.5173,211.40361,0.9635888
60,0,6,1667.0347,234.4863,0.9986589
60,0,7,1524.8706,346.73914,0.72768146
60,0,8,1645.2372,345.03445,0.9963283
60,0,9,1613.9646,312.44116,0.5973199
60,0,10,1777.8395,318.79285,0.9815269
60,0,11,1598.8295,501.5288,0.99583095
60,0,12,1629.7849,517.2362,0.999154
60,0,13,1575.1587,731.70593,0.9875513
60,0,14,1652.6163,767.2292,0.9972703
60,0,15,1573.9878,951.0604,0.9226734
60,0,16,1609.3649,1023.7227,0.9674315
70,0,0,1666.9226,109.61165,0.658968
70,0,1,0.0,0.0,0.09154452
70,0,2,1651.5631,95.90488,0.7975466
70,0,3,0.0,0.0,0.1032993
70,0,4,1613.846,126.77284,0.9679143
70,0,5,1550.3186,202.37943,0.8940509
70,0,6,1605.7192,239.21718,0.99898046
70,0,7,0.0,0.0,0.3201032
70,0,8,1647.418,365.5002,0.9975795
70,0,9,0.0,0.0,0.2412198
70,0,10,1778.03,322.84982,0.98380923
70,0,11,1538.7144,499.49316,0.9926964
70,0,12,1575.1243,519.60736,0.9993331
70,0,13,1566.1466,733.89777,0.9847956
70,0,14,1625.8577,761.14856,0.9986325
70,0,15,1577.516,958.2171,0.94112813
70,0,16,1606.7153,1026.3735,0.98711723
80,0,0,1541.8257,103.65312,0.7293418
80,0,1,0.0,0.0,0.09439146
80,0,2,1522.5348,90.81857,0.786875
80,0,3,0.0,0.0,0.08360667
80,0,4,1491.643,126.25923,0.958386
80,0,5,1487.1703,209.86978,0.950426
80,0,6,1504.9738,230.69098,0.9992544
80,0,7,1571.0292,305.88632,0.66908884
80,0,8,1625.8906,336.89127,0.9990513
80,0,9,1683.0278,286.35168,0.61332697
80,0,10,1766.0714,323.78036,0.9955167
80,0,11,1494.7567,504.7413,0.99624264
80,0,12,1502.5803,519.04285,0.9995679
80,0,13,1549.0983,732.7392,0.98590684
80,0,14,1601.0658,752.48035,0.9985266
80,0,15,1592.5024,957.2992,0.901274
80,0,16,1610.9854,1016.046,0.97613937
